Designator,Mid X,Mid Y,Rotation,Layer
BOOT,130.22,-67.14,270.0,top
C1,146.44,-99.78,270.0,top
C10,156.982499,-69.28,0.0,top
C11,156.982499,-71.36,0.0,top
C12,156.912499,-67.42,0.0,top
C13,156.982499,-73.45,0.0,top
C14,158.912499,-75.46,90.0,top
C15,152.46,-80.33,180.0,top
C16,150.175,-85.23,180.0,top
C17,143.99,-83.2,270.0,top
C18,142.67,-83.2,270.0,top
C19,146.825,-86.45,0.0,top
C2,151.505,-93.75,0.0,top
C20,145.215,-87.06,180.0,top
C21,125.3,-100.98,0.0,top
C22,127.69,-100.04,270.0,top
C23,140.59,-88.91,0.0,top
C24,130.495,-97.72,180.0,top
C25,124.6,-92.27,270.0,top
C26,131.28,-80.175,90.0,top
C27,133.16,-80.17,90.0,top
C28,130.33,-96.83,180.0,top
C29,132.22,-79.81,90.0,top
C3,153.45,-96.62,90.0,top
C30,122.5,-85.39,0.0,top
C31,140.82,-87.95,0.0,top
C32,128.75,-96.19,270.0,top
C33,126.3,-78.83,315.0,top
C34,122.21,-82.64,135.0,top
C35,130.29,-75.01,90.0,top
C36,127.78,-75.02,90.0,top
C37,127.04,-67.18,270.0,top
C4,152.52,-95.5,270.0,top
C5,146.43,-97.67,90.0,top
C6,148.415,-93.75,180.0,top
C7,157.172499,-82.5,0.0,top
C8,157.172499,-80.36,0.0,top
C9,157.102499,-84.38,0.0,top
CARD1,141.57,-65.8575,180.0,top
D1,148.74,-101.77,90.0,top
J1,157.51,-90.53,90.0,top
J2,154.82,-60.01,270.0,top
J3,154.81,-63.97,270.0,top
L4,122.71,-86.53,180.0,top
L5,144.4,-96.59,270.0,top
L6,152.092499,-76.68,270.0,top
L7,147.04,-82.32,0.0,top
R1,137.0625,-98.2575,180.0,top
R10,144.73,-88.38,180.0,top
R11,136.993952,-82.246048,45.0,top
R12,158.912499,-78.04,270.0,top
R13,159.272499,-76.74,180.0,top
R14,153.05,-85.13,180.0,top
R15,153.05,-86.39,0.0,top
R16,145.91,-73.0975,270.0,top
R17,147.01,-73.0975,270.0,top
R18,139.36,-73.0875,270.0,top
R19,140.36,-73.0975,270.0,top
R2,140.7225,-98.2575,0.0,top
R20,141.52,-73.0875,270.0,top
R21,143.75,-73.0875,270.0,top
R22,129.91,-70.77,0.0,top
R3,153.41,-98.9,0.0,top
R4,155.46,-99.51,90.0,top
R5,153.07,-100.15,90.0,top
R6,153.93,-100.15,90.0,top
R7,148.74,-103.56,270.0,top
R8,153.41,-98.05,0.0,top
R9,146.77,-89.9,270.0,top
RESET,124.83,-67.14,270.0,top
U1,132.17,-88.47,225.0,top
U2,149.75,-98.16,0.0,top
U3,125.47,-98.97,0.0,top
U4,146.86,-88.06,0.0,top
U5,156.642499,-76.52,90.0,top
U6,152.12,-82.66,180.0,top
USB1,138.64,-101.8475,0.0,top
X1,124.21,-80.707366,225.0,top
X2,129.01,-76.93,180.0,top
